,Year,Total,Gender,Symbol,GDP,Country
0,1993,18.0,33.33333333333333,ALB,367.279225077581,Albania
1,1996,15.0,50.0,ALB,1009.97711053398,Albania
2,1997,15.0,0.0,ALB,717.380047745673,Albania
3,1999,34.0,0.0,ALB,1033.24253162418,Albania
4,2000,17.0,40.0,ALB,1126.68334010717,Albania
5,2001,20.0,0.0,ALB,1281.6598256178,Albania
6,2002,25.0,0.0,ALB,1425.12421860142,Albania
7,2003,23.0,0.0,ALB,1846.12012081207,Albania
8,2004,57.0,33.33333333333333,ALB,2373.58129170055,Albania
9,2005,44.0,16.666666666666664,ALB,2673.78781583529,Albania
10,2006,76.0,0.0,ALB,2972.74362094736,Albania
11,2007,59.0,16.666666666666664,ALB,3595.03829536404,Albania
12,2008,53.0,50.0,ALB,4370.53971639449,Albania
13,2009,24.0,16.666666666666664,ALB,4114.13403283023,Albania
14,2010,11.0,50.0,ALB,4094.34968570481,Albania
15,2011,24.0,33.33333333333333,ALB,4437.14116097061,Albania
16,2014,46.0,40.0,ALB,4578.63320812155,Albania
17,2015,37.0,33.33333333333333,ALB,3952.80357364813,Albania
18,2016,58.0,33.33333333333333,ALB,4124.05538986272,Albania
19,2017,67.0,16.666666666666664,ALB,4531.03220675893,Albania
20,2018,37.0,16.666666666666664,ALB,5287.66080067575,Albania
21,2019,37.0,33.33333333333333,ALB,5396.2142432843,Albania
22,1984,36.0,Nan,DZA,2510.03683324232,Algeria
23,1985,36.0,Nan,DZA,2617.72544861118,Algeria
24,1986,80.0,Nan,DZA,2783.4310226391,Algeria
25,1987,29.0,Nan,DZA,2829.87927404758,Algeria
26,1988,42.0,20.0,DZA,2437.37792301413,Algeria
27,1990,29.0,Nan,DZA,2431.55135968865,Algeria
28,1991,20.0,16.666666666666664,DZA,1749.28608748967,Algeria
29,1993,9.0,Nan,DZA,1825.87509656701,Algeria
30,1997,3.0,Nan,DZA,1634.46740988129,Algeria
31,2009,2.0,25.0,DZA,3898.47878787317,Algeria
32,2015,60.0,0.0,DZA,4197.41998491398,Algeria
33,2016,41.0,0.0,DZA,3967.20064743809,Algeria
34,2017,70.0,16.666666666666664,DZA,4134.93608656171,Algeria
35,2018,18.0,0.0,DZA,4171.79038755546,Algeria
36,2019,46.0,0.0,DZA,4021.9832660524,Algeria
37,1988,23.0,0.0,ARG,4005.20125846019,Argentina
38,1990,67.0,0.0,ARG,4330.96819128783,Argentina
39,1991,94.0,0.0,ARG,5730.72380988423,Argentina
40,1992,67.0,0.0,ARG,6815.32932969825,Argentina
41,1993,46.0,16.666666666666664,ARG,6957.41749889251,Argentina
42,1994,159.0,16.666666666666664,ARG,7464.4747368819,Argentina
43,1995,129.0,33.33333333333333,ARG,7383.70450960064,Argentina
44,1996,80.0,16.666666666666664,ARG,7690.15700254783,Argentina
45,1997,94.0,0.0,ARG,8176.77119517435,Argentina
46,1998,97.0,0.0,ARG,8250.67317414321,Argentina
47,1999,63.0,0.0,ARG,7735.32208018486,Argentina
48,2000,88.0,33.33333333333333,ARG,7666.51783423783,Argentina
49,2001,103.0,0.0,ARG,7168.97587232911,Argentina
50,2002,96.0,0.0,ARG,2579.48876933284,Argentina
51,2003,91.0,0.0,ARG,3333.15290388997,Argentina
52,2004,92.0,16.666666666666664,ARG,4258.16026060875,Argentina
53,2005,65.0,0.0,ARG,5086.62776073134,Argentina
54,2006,95.0,0.0,ARG,5890.97800169795,Argentina
55,2007,75.0,0.0,ARG,7210.59554755899,Argentina
56,2008,85.0,0.0,ARG,8977.50685093365,Argentina
57,2009,93.0,0.0,ARG,8184.38988923991,Argentina
58,2010,92.0,16.666666666666664,ARG,10385.9644319555,Argentina
59,2011,77.0,16.666666666666664,ARG,12848.7391514568,Argentina
60,2012,74.0,16.666666666666664,ARG,13082.664325572,Argentina
61,2013,46.0,0.0,ARG,13080.2547323367,Argentina
62,2014,81.0,0.0,ARG,12334.7982453893,Argentina
63,2015,70.0,16.666666666666664,ARG,13789.060424772,Argentina
64,2016,75.0,16.666666666666664,ARG,12790.2641396135,Argentina
