Country,GDP,rank
Aruba,29329.08,na
Africa Eastern and Southern,1625.29,na
Afghanistan,526.14,na
Africa Western and Central,1590.28,na
Angola,2439.37,na
Albania,4531.03,188
Andorra,40632.21,na
Arab World,6230.76,na
United Arab Emirates,43063.97,na
Argentina,14613.04,14
Armenia,4042.0,103
American Samoa,12372.88,na
Antigua and Barbuda,16803.87,na
Australia,53954.55,72
Austria,47429.16,82
Azerbaijan,4147.2,139
Burundi,244.15,na
Belgium,44198.48,103
Benin,1095.27,na
Burkina Faso,711.18,na
Bangladesh,1815.61,49
Bulgaria,8381.88,64
Bahrain,24349.91,na
The Bahamas,30708.99,na
Bosnia and Herzegovina,5327.39,188
Belarus,5785.53,7
Belize,6049.39,na
Bermuda,111820.58,na
Bolivia,3280.01,342
Brazil,9896.72,82
Barbados,17881.56,na
Brunei Darussalam,28186.99,na
Bhutan,3427.17,na
Botswana,6705.34,442
Central African Republic,414.74,na
Canada,45129.43,14
Central Europe and the Baltics,14223.34,na
Switzerland,82254.38,139
Channel Islands,57683.89,na
Chile,15034.06,188
China,8817.05,na
Ivory Coast,2113.34,559
Cameroon,1479.86,na
Democratic Republic of the Congo,451.09,na
"Congo, Rep.",2227.72,na
Colombia,6449.97,265
Comoros,1414.59,na
Cabo Verde,3534.34,na
Costa Rica,12118.13,342
Caribbean small states,10101.7,na
Cuba,8543.33,390
Curacao,18938.24,na
Cayman Islands,81255.11,na
Cyprus,26608.7,139
Czechia,20636.2,na
Germany,44652.59,49
Djibouti,2655.73,na
Dominica,7408.09,na
Denmark,57610.1,139
Dominican Republic,7513.5,na
Algeria,4134.94,188
Ecuador,6246.4,188
Egypt,2439.97,567
Eritrea,,na
Spain,28185.32,139
Estonia,20437.77,115
Ethiopia,755.75,na
European Union,33090.63,na
Finland,46412.14,292
Fiji,5825.2,na
France,38781.05,82
Faroe Islands,59328.24,na
"Micronesia, Fed. Sts.",3320.35,na
Gabon,6975.7,na
United Kingdom,40572.12,7
Georgia,4356.93,5
Ghana,1998.72,538
Gibraltar,,na
Guinea,843.46,na
"Gambia, The",632.0,na
Guinea-Bissau,718.25,na
Equatorial Guinea,8410.4,na
Greece,18582.09,14
Grenada,9309.26,na
Greenland,50765.75,na
