year,country,firstname,lastname,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,award
1984,Bulgaria,Diko B.,Mihov,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Germany,Karin,Gröger,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Romania,Daniel,Tătaru,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Russia,Andrey,Astrelin,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Russia,Konstantin,Ignatiev,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Russia,Leonid,Oridoroga,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,United States of America,David,Moews,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Vietnam,Đàm,Thanh Sơn,7.0,7.0,7.0,7.0,7.0,7.0,42,1,Gold medal
1984,Bulgaria,Vasil Borisov,Daskalov,7.0,7.0,7.0,6.0,7.0,7.0,41,9,Gold medal
1984,Russia,Fedor,Nazarov,7.0,7.0,6.0,7.0,7.0,7.0,41,9,Gold medal
1984,Hungary,Miklós,Mócsy,7.0,5.0,7.0,7.0,7.0,7.0,40,12,Gold medal
1984,Romania,Louis,Funar,7.0,7.0,7.0,7.0,5.0,7.0,40,12,Gold medal
1984,Russia,Evgeniy,Abakumov,7.0,7.0,7.0,7.0,5.0,7.0,40,12,Gold medal
1984,United Kingdom,Paul Nevile,Balister,7.0,7.0,7.0,6.0,7.0,6.0,40,9,Gold medal
1984,Germany,Bernhard,Leeb,7.0,7.0,7.0,7.0,7.0,3.0,38,15,Silver medal
1984,Romania,Petru,Mironescu,7.0,7.0,7.0,7.0,7.0,3.0,38,15,Silver medal
1984,Bulgaria,Pavel,Tadeev Glasnov,7.0,7.0,2.0,7.0,7.0,7.0,37,17,Silver medal
1984,Hungary,Gábor,Megyesi,7.0,7.0,2.0,7.0,7.0,7.0,37,17,Silver medal
1984,Romania,Martin,Weiss,7.0,7.0,6.0,7.0,6.0,4.0,37,17,Silver medal
1984,Mongolia,D.,Tubshinjargal,2.0,7.0,7.0,7.0,6.0,7.0,36,20,Silver medal
1984,Bulgaria,Nikolai Ivanov,Chavdarov,7.0,6.0,2.0,7.0,6.0,7.0,35,21,Silver medal
1984,Germany,Arnd,Rösch,7.0,7.0,7.0,7.0,7.0,0.0,35,21,Silver medal
1984,Hungary,Zoltán,Szabó,7.0,7.0,7.0,7.0,7.0,0.0,35,21,Silver medal
1984,United States of America,David,Grabiner,7.0,7.0,7.0,7.0,0.0,7.0,35,21,Silver medal
1984,Czechoslovakia,Jiří,Witzany,7.0,1.0,7.0,6.0,7.0,6.0,34,25,Silver medal
1984,Hungary,Géza,Kós,7.0,7.0,6.0,7.0,7.0,0.0,34,25,Silver medal
1984,Mongolia,R.,Batdelger,7.0,7.0,7.0,7.0,6.0,0.0,34,25,Silver medal
1984,United States of America,Michael,Reid,7.0,7.0,7.0,7.0,6.0,0.0,34,25,Silver medal
1984,Australia,Michael,Peake,7.0,7.0,1.0,6.0,7.0,5.0,33,29,Silver medal
1984,France,Alexis,Bonnet,7.0,7.0,7.0,6.0,1.0,4.0,32,30,Silver medal
1984,Greece,A.,Melas,6.0,7.0,1.0,7.0,7.0,3.0,31,31,Silver medal
1984,Mongolia,B.,Munhtur,5.0,6.0,6.0,7.0,7.0,0.0,31,31,Silver medal
1984,United Kingdom,Richard Swarup,Biswas,7.0,7.0,2.0,7.0,7.0,1.0,31,31,Silver medal
1984,United Kingdom,Marcus George,Moore,7.0,7.0,0.0,6.0,4.0,7.0,31,31,Silver medal
1984,Germany,Arnfried,Gebhardt,7.0,7.0,5.0,7.0,3.0,1.0,30,35,Silver medal
1984,United States of America,Jeremy,Kahn,7.0,7.0,0.0,2.0,7.0,7.0,30,35,Silver medal
1984,United States of America,Steven,Newman,7.0,7.0,7.0,5.0,4.0,0.0,30,35,Silver medal
1984,United Kingdom,Matthew John,Richards,7.0,1.0,1.0,6.0,7.0,7.0,29,38,Silver medal
1984,Austria,Michael,Ulm,7.0,7.0,0.0,7.0,7.0,0.0,28,39,Silver medal
1984,Bulgaria,Ivan Kolev,Dimitrov,7.0,7.0,2.0,7.0,5.0,0.0,28,39,Silver medal
1984,Hungary,Ákos,Magyar,7.0,7.0,0.0,7.0,7.0,0.0,28,39,Silver medal
1984,Poland,Jarosław,Włodarczyk,7.0,1.0,7.0,7.0,0.0,6.0,28,39,Silver medal
1984,Russia,Sergei,Strukov,7.0,0.0,0.0,7.0,7.0,7.0,28,39,Silver medal
1984,France,Laurent,Lafforgue,7.0,7.0,6.0,7.0,0.0,0.0,27,44,Silver medal
1984,Germany,Ingo,Witt,7.0,7.0,1.0,7.0,0.0,5.0,27,44,Silver medal
1984,Vietnam,Đỗ,Quang Đại,7.0,7.0,0.0,6.0,7.0,0.0,27,44,Silver medal
1984,Czechoslovakia,Juraj,Balász,7.0,7.0,0.0,7.0,4.0,1.0,26,47,Silver medal
1984,Netherlands,Jan,de Boer,7.0,7.0,0.0,7.0,1.0,4.0,26,47,Silver medal
1984,Vietnam,Nguyễn,Văn Hưng,7.0,7.0,0.0,7.0,0.0,5.0,26,47,Silver medal
1984,Australia,Alan,Blair,6.0,1.0,0.0,7.0,4.0,7.0,25,50,Bronze medal
1984,Czechoslovakia,Martin,Grajcar,6.0,7.0,0.0,7.0,4.0,1.0,25,50,Bronze medal
1984,Vietnam,Võ,Thu Tùng,7.0,0.0,0.0,7.0,4.0,7.0,25,50,Bronze medal
1984,Germany,Colin,Stahlke,3.0,7.0,4.0,6.0,4.0,0.0,24,53,Bronze medal
1984,Norway,John,Rognes,7.0,7.0,2.0,7.0,1.0,0.0,24,53,Bronze medal
1984,Poland,Andrzej,Krzysztofowicz,5.0,0.0,5.0,7.0,7.0,0.0,24,53,Bronze medal
1984,Romania,Radu,Negulescu,7.0,3.0,2.0,7.0,5.0,0.0,24,53,Bronze medal
1984,United States of America,Douglas,Davidson,7.0,7.0,7.0,0.0,3.0,0.0,24,53,Bronze medal
1984,Colombia,Juan,Pereira,7.0,0.0,7.0,7.0,0.0,2.0,23,58,Bronze medal
1984,Germany,Hagen,von Eitzen,7.0,7.0,0.0,7.0,0.0,2.0,23,58,Bronze medal
