Country,GDP
Aruba,
Africa Eastern and Southern,157.047579912888
Afghanistan,82.0217375781519
Africa Western and Central,122.370114159228
Angola,
Albania,
Andorra,
Arab World,
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,1967.10899053653
Austria,1167.00053244585
Azerbaijan,
Burundi,78.9482692944993
Belgium,1535.02372901043
Benin,96.254664281872
Burkina Faso,78.829086192377
Bangladesh,96.5522100227946
Bulgaria,
Bahrain,
The Bahamas,1792.42227428747
Bosnia and Herzegovina,
Belarus,
Belize,341.386111449432
Bermuda,2020.26521185657
Bolivia,121.143646712686
Brazil,
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,69.3788676158726
Central African Republic,72.8398288511691
Canada,2374.49844764883
Central Europe and the Baltics,
Switzerland,2294.18284731738
Channel Islands,
Chile,645.945373462085
China,74.3133717692149
Ivory Coast,183.100157507778
Cameroon,132.348114088454
Democratic Republic of the Congo,
"Congo, Rep.",150.738167913407
Colombia,280.993494299019
Comoros,
Cabo Verde,
Costa Rica,341.576192932674
Caribbean small states,515.429509478094
Cuba,
Curacao,
Cayman Islands,
Cyprus,
Czechia,
Germany,
Djibouti,
Dominica,
Denmark,
Dominican Republic,258.760222652634
Algeria,225.823391368412
Ecuador,362.380380486064
Egypt,
Eritrea,
Spain,609.487384056513
Estonia,
Ethiopia,
European Union,
Finland,1522.3192420995
Fiji,293.292088819509
France,1758.85665897749
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,290.053632152233
United Kingdom,1613.45688373392
Georgia,
Ghana,207.729323735884
Gibraltar,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,38.3017869123693
Greece,695.228624389878
Grenada,
Greenland,
Guatemala,280.096636444858
Guam,
Guyana,283.159407862695
High income,1625.09206226656
"Hong Kong SAR, China",565.727810358046
Honduras,180.887486395956
Heavily indebted poor countries (HIPC),103.01648012704
Croatia,
Haiti,71.5344009752158
Hungary,
IBRD only,177.019562394193
IDA & IBRD total,164.717619503492
IDA total,102.061591293009
IDA blend,112.713709636702
Indonesia,
IDA only,103.190149190669
Isle of Man,
India,101.31516498136
Not classified,
Ireland,852.135301717888
"Iran, Islamic Rep.",211.901117833205
Iraq,255.719298774145
Iceland,1831.70565581972
Israel,1257.81140535239
Italy,1126.01933699825
Jamaica,485.194081535267
Jordan,
Japan,724.693762224539
Kazakhstan,
Kenya,106.538811268484
Kyrgyz Republic,
Cambodia,123.201024935887
Kiribati,
St. Kitts and Nevis,235.945308048762
South Korea,146.302492590131
Kuwait,
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,117.962311583162
Lesotho,58.1359189458504
Late-demographic dividend,193.436650508512
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,208.087371826172
Moldova,
Madagascar,138.459331141725
Maldives,
Middle East & North Africa,
Mexico,424.189633975869
Marshall Islands,
Middle income,160.054326704156
North Macedonia,
Mali,
Malta,
Myanmar,25.8070101381722
Middle East & North Africa (excluding high income),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,184.558479961491
Mauritius,
Malawi,
Malaysia,292.575818466649
North America,3283.14145300572
Namibia,
New Caledonia,
Niger,153.372050870012
Nigeria,108.015741558424
Nicaragua,
Netherlands,1328.03664879968
Norway,1775.58265544979
Nepal,46.0874475740236
Nauru,
New Zealand,2622.2202714036
OECD members,1570.74601138054
Oman,
Other small states,
Pakistan,93.883886249529
Panama,586.073007710415
Peru,
Philippines,177.331351860823
Palau,
Papua New Guinea,129.609803089996
Poland,
Pre-demographic dividend,109.193686985591
Puerto Rico,931.751665981242
"Korea, Dem. People's Rep.",
Portugal,432.511729575075
Paraguay,
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,1643.81644939835
French Polynesia,
Qatar,
Romania,
Russia,
Rwanda,40.1089082198507
Saudi Arabia,
Sudan,111.264495849609
Senegal,314.989368799574
Singapore,511.202235371449
Solomon Islands,
Sierra Leone,143.690389860831
El Salvador,
San Marino,
Somalia,69.675722459319
Serbia,
Sub-Saharan Africa (excluding high income),139.779591620867
South Sudan,
Sub-Saharan Africa,139.804106912626
Small states,
Sao Tome and Principe,
Suriname,420.770248419815
Slovak Republic,
Slovenia,
Sweden,2657.02250478203
Eswatini,146.483040070752
Sint Maarten (Dutch part),
Seychelles,308.195248410849
Syrian Arab Republic,237.936395234912
Turks and Caicos Islands,
Chad,115.804586927463
Togo,82.4875111547933
Thailand,121.604327045974
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,755.560996547191
Tunisia,
Turkiye,347.177090597348
Tuvalu,
Tanzania,
Uganda,62.1040778954549
Ukraine,
Upper middle income,192.888034223573
Uruguay,592.211679329322
United States,3374.51517105082
Uzbekistan,
St. Vincent and the Grenadines,154.654877846811
"Venezuela, RB",1060.57032394876
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,
Vanuatu,
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,601.59995091078
Zambia,209.453361697312
Zimbabwe,277.532515496307
