Country,GDP,rank,info
Aruba,,na,
Africa Eastern and Southern,625.47,na,
Afghanistan,,na,
Africa Western and Central,649.03,na,
Angola,637.9,na,
Albania,639.48,na,
Andorra,7825.16,na,
Arab World,2264.59,na,
United Arab Emirates,31955.18,na,
Argentina,3787.47,na,
Armenia,,na,
American Samoa,,na,
Antigua and Barbuda,3187.98,na,
Australia,12421.47,29,"Michael Peake,33,29,Silver medal;Alan Blair,25,50,Bronze medal;Matthew Hardman,21,69,Bronze medal;Jonathon Ennis,16,99,nan;Andrew Jenkins,6,151,nan;John Kramer,2,173,nan"
Austria,8991.07,,
Azerbaijan,,,
Burundi,203.86,,
Belgium,8457.27,,
Benin,244.84,,
Burkina Faso,188.34,,
Bangladesh,202.29,,
Bulgaria,1963.57,,
Bahrain,9316.38,,
The Bahamas,8463.46,,
Bosnia and Herzegovina,,,
Belarus,,,
Belize,1342.23,,
Bermuda,17469.83,,
Bolivia,986.78,,
Brazil,,,
Barbados,5235.13,,
Brunei Darussalam,17619.33,,
Bhutan,341.21,,
Botswana,1128.87,,
Central African Republic,252.75,,
Canada,13930.47,,
Central Europe and the Baltics,,,
Switzerland,16991.25,,
Channel Islands,,,
Chile,1619.37,,
China,302.59,,
Ivory Coast,711.09,,
Cameroon,768.98,,
Democratic Republic of the Congo,316.64,,
"Congo, Rep.",1095.84,,
Colombia,1333.37,,
Comoros,505.1,,
Cabo Verde,393.53,,
Costa Rica,1357.64,,
Caribbean small states,2762.38,,
Cuba,2388.29,,
Curacao,,,
Cayman Islands,,,
Cyprus,4258.74,,
Czechia,,,
Germany,9313.17,,
Djibouti,,,
Dominica,1517.42,,
Denmark,11562.92,,
Dominican Republic,1845.56,,
Algeria,2510.04,,
Ecuador,1874.38,,
Egypt,697.9,,
Eritrea,,,
Spain,4489.99,,
Estonia,,,
Ethiopia,206.52,,
European Union,6304.86,,
Finland,10833.87,,
Fiji,1657.85,,
France,9430.07,,
Faroe Islands,9438.55,,
"Micronesia, Fed. Sts.",,,
Gabon,4273.31,,
United Kingdom,8179.19,,
Georgia,,,
Ghana,330.69,,
Gibraltar,,,
Guinea,,,
"Gambia, The",215.01,,
Guinea-Bissau,156.26,,
Equatorial Guinea,140.56,,
Greece,4852.57,,
Grenada,1460.91,,
Greenland,7198.71,,
Guatemala,1234.7,,
Guam,,,
Guyana,563.95,,
High income,9876.6,,
"Hong Kong SAR, China",6208.23,,
Honduras,1153.31,,
Heavily indebted poor countries (HIPC),345.33,,
Croatia,,,
Haiti,296.77,,
Hungary,,,
IBRD only,899.48,,
IDA & IBRD total,806.58,,
IDA total,411.23,,
IDA blend,610.02,,
Indonesia,522.72,,
IDA only,313.07,,
Isle of Man,,,
India,278.1,,
Not classified,,,
Ireland,5692.03,,
"Iran, Islamic Rep.",3556.49,,
Iraq,3052.5,,
Iceland,11959.54,,
Israel,,,
Italy,7739.72,,
Jamaica,1048.35,,
Jordan,1888.7,,
Japan,11207.45,,
Kazakhstan,,,
Kenya,330.15,,
Kyrgyz Republic,,,
Cambodia,,,
Kiribati,644.69,,
St. Kitts and Nevis,2326.66,,
South Korea,2413.28,,
Kuwait,11962.65,,
Lao PDR,482.74,,
Lebanon,,,
Liberia,,,
Libya,,,
St. Lucia,1925.22,,
Latin America & Caribbean,,,
Sri Lanka,380.75,,
Lesotho,211.77,,
Late-demographic dividend,931.37,,
Lithuania,,,
Latvia,,,
"Macao SAR, China",4715.85,,
St. Martin (French part),,,
Morocco,675.02,,
Moldova,,,
Madagascar,390.01,,
Maldives,593.88,,
Middle East & North Africa,3016.31,,
Mexico,2506.89,,
Marshall Islands,1205.87,,
Middle income,805.74,,
North Macedonia,,,
Mali,153.54,,
Malta,3332.89,,
Myanmar,36.06,,
Middle East & North Africa (excluding high income),1915.6,,
Montenegro,,,
Mongolia,1121.33,,
Northern Mariana Islands,,,
Mozambique,,,
Mauritania,633.6,,
Mauritius,1027.99,,
Malawi,239.55,,
Malaysia,2311.17,,
North America,16808.84,,
Namibia,1837.35,,
New Caledonia,5249.36,,
Niger,209.53,,
Nigeria,903.45,,
Nicaragua,,,
Netherlands,9977.16,,
Norway,14989.49,,
Nepal,150.58,,
Nauru,,,
New Zealand,6713.76,,
OECD members,9124.14,,
Oman,6927.98,,
Other small states,2211.12,,
Pakistan,331.39,,
Panama,2879.24,,
Peru,1054.64,,
Philippines,667.67,,
Palau,,,
Papua New Guinea,756.46,,
Poland,,,
Pre-demographic dividend,621.98,,
Puerto Rico,5730.12,,
"Korea, Dem. People's Rep.",,,
Portugal,2522.75,,
Paraguay,1309.66,,
West Bank and Gaza,,,
Pacific island small states,1244.85,,
Post-demographic dividend,10037.93,,
French Polynesia,7237.48,,
Qatar,19252.17,,
Romania,,,
Russia,,,
Rwanda,262.09,,
Saudi Arabia,9717.42,,
Sudan,439.55,,
Senegal,549.55,,
Singapore,7228.32,,
Solomon Islands,677.72,,
Sierra Leone,296.61,,
El Salvador,765.69,,
San Marino,,,
Somalia,123.77,,
Serbia,,,
Sub-Saharan Africa (excluding high income),635.34,,
South Sudan,,,
Sub-Saharan Africa,635.6,,
Small states,2299.15,,
Sao Tome and Principe,,,
Suriname,2258.13,,
Slovak Republic,,,
Slovenia,,,
Sweden,13099.02,,
Eswatini,730.08,,
Sint Maarten (Dutch part),,,
Seychelles,2487.64,,
Syrian Arab Republic,1885.02,,
Turks and Caicos Islands,,,
Chad,186.79,,
Togo,222.18,,
Thailand,842.07,,
Tajikistan,,,
Turkmenistan,,,
Timor-Leste,,,
Tonga,662.2,,
Trinidad and Tobago,6547.46,,
Tunisia,1134.0,,
Turkiye,1245.93,,
Tuvalu,,,
Tanzania,,,
Uganda,247.34,,
Ukraine,,,
Upper middle income,1063.17,,
Uruguay,1612.32,,
United States of America,17121.23,,
Uzbekistan,,,
St. Vincent and the Grenadines,1223.84,,
"Venezuela, RB",3531.35,,
British Virgin Islands,,,
Virgin Islands (U.S.),,,
Viet Nam,,,
Vanuatu,1112.49,,
Samoa,654.76,,
Kosovo,,,
"Yemen, Rep.",,,
South Africa,2590.02,,
Zambia,419.2,,
Zimbabwe,756.33,,
