Country,GDP,rank
Aruba,6283.0,na
Africa Eastern and Southern,555.61,na
Afghanistan,,na
Africa Western and Central,578.87,na
Angola,684.9,na
Albania,693.87,na
Andorra,10568.93,na
Arab World,2038.03,na
United Arab Emirates,23111.38,na
Argentina,3454.3,na
Armenia,,na
American Samoa,,na
Antigua and Barbuda,4488.2,na
Australia,11391.66,60
Austria,13083.07,22
Azerbaijan,,na
Burundi,238.36,na
Belgium,12170.04,54
Benin,293.56,na
Burkina Faso,248.09,na
Bangladesh,221.57,na
Bulgaria,2260.43,15
Bahrain,6780.14,na
The Bahamas,9858.3,na
Bosnia and Herzegovina,,na
Belarus,,na
Belize,1385.47,na
Bermuda,20450.66,na
Bolivia,607.08,na
Brazil,,10
Barbados,5990.46,na
Brunei Darussalam,10262.93,na
Bhutan,383.09,na
Botswana,1180.91,na
Central African Republic,434.38,na
Canada,14521.18,22
Central Europe and the Baltics,,na
Switzerland,24459.85,na
Channel Islands,,na
Chile,1510.02,na
China,281.7,na
Ivory Coast,888.34,na
Cameroon,1172.49,na
Democratic Republic of the Congo,253.52,na
"Congo, Rep.",870.3,na
Colombia,1166.3,121
Comoros,723.18,na
Cabo Verde,553.78,na
Costa Rica,1551.69,na
Caribbean small states,2450.0,na
Cuba,2366.92,129
Curacao,,na
Cayman Islands,,na
Cyprus,5642.63,54
Czechia,,na
Germany,13461.83,4
Djibouti,,na
Dominica,1897.94,na
Denmark,17201.09,na
Dominican Republic,934.06,na
Algeria,2783.43,80
Ecuador,1613.7,na
Egypt,802.22,na
Eritrea,,na
Spain,6513.5,51
Estonia,,na
Ethiopia,237.57,na
European Union,9021.26,na
Finland,14951.05,69
Fiji,1737.36,na
France,13566.66,9
Faroe Islands,14972.82,na
"Micronesia, Fed. Sts.",1241.3,na
Gabon,3866.28,na
United Kingdom,10611.11,19
Georgia,,na
Ghana,410.52,na
Gibraltar,,na
Guinea,351.8,na
"Gambia, The",208.83,na
Guinea-Bissau,142.46,na
Equatorial Guinea,192.33,na
Greece,5656.51,73
Grenada,1859.29,na
Greenland,11271.33,na
Guatemala,892.29,na
Guam,,na
Guyana,656.66,na
High income,12433.2,na
"Hong Kong SAR, China",7435.0,na
Honduras,1257.39,na
Heavily indebted poor countries (HIPC),369.51,na
Croatia,,na
Haiti,363.6,na
Hungary,,1
IBRD only,883.97,na
IDA & IBRD total,790.85,na
IDA total,400.59,na
IDA blend,519.66,na
Indonesia,472.72,na
IDA only,343.92,na
Isle of Man,,na
India,312.06,na
Not classified,,na
Ireland,8112.17,na
"Iran, Islamic Rep.",4274.81,na
Iraq,2926.92,na
Iceland,16406.05,133
Israel,,30
Italy,11315.02,80
Jamaica,1189.42,na
Jordan,2223.09,na
Japan,17451.83,na
Kazakhstan,,na
Kenya,359.07,na
Kyrgyz Republic,,na
Cambodia,,na
Kiribati,460.22,na
St. Kitts and Nevis,3119.8,na
South Korea,2834.89,na
