Country,GDP
Aruba,20911.1927670907
Africa Eastern and Southern,631.595695254329
Afghanistan,
Africa Western and Central,532.272575843588
Angola,527.464118409977
Albania,1281.6598256178
Andorra,22809.0877599631
Arab World,2736.6003188944
United Arab Emirates,29909.0094348435
Argentina,7168.97587232911
Armenia,676.150011307766
American Samoa,
Antigua and Barbuda,10502.9388110146
Australia,19695.7297379144
Austria,24558.7636778868
Azerbaijan,703.670998584686
Burundi,135.606475784646
Belgium,23015.0712632462
Benin,508.34744771123
Burkina Faso,260.443473110803
Bangladesh,410.048540904043
Bulgaria,1770.90704918691
Bahrain,12291.8326130535
The Bahamas,25234.1441512502
Bosnia and Herzegovina,1382.7674599413
Belarus,1244.37318523431
Belize,4708.29493729742
Bermuda,58883.9594265967
Bolivia,930.875684294239
Brazil,3142.23513974908
Barbados,11510.0404330443
Brunei Darussalam,16437.4220369591
Bhutan,765.009236570764
Botswana,3115.6789995428
Central African Republic,242.575726772934
Canada,23822.0601178964
Central Europe and the Baltics,4352.72850917915
Switzerland,39638.7911061864
Channel Islands,42678.2770294233
Chile,4610.59269464898
China,1053.11231446589
Ivory Coast,974.77998497188
Cameroon,706.984217524458
Democratic Republic of the Congo,148.447123509623
"Congo, Rep.",859.440012475987
Colombia,2465.00701162874
Comoros,691.041978010695
Cabo Verde,1208.4576085771
Costa Rica,3941.59864349203
Caribbean small states,5369.24728222784
Cuba,2844.24443674985
Curacao,
Cayman Islands,
Cyprus,14821.447265625
Czechia,6637.04165713981
Germany,23628.3272122367
Djibouti,747.779122941073
Dominica,4991.76417331157
Denmark,30751.654348268
Dominican Republic,2953.24784377211
Algeria,1754.58236097572
Ecuador,1904.81367007224
Egypt,1327.09651832991
Eritrea,305.602758823285
Spain,15369.0011599444
Estonia,4505.85833233188
Ethiopia,119.261857260772
European Union,17198.0422216438
Finland,24967.7925153182
Fiji,1964.13020427679
France,22449.3396931175
Faroe Islands,25089.5926494304
"Micronesia, Fed. Sts.",2152.5252795941
Gabon,3844.56134920847
United Kingdom,27906.5695029641
Georgia,801.98383707929
Ghana,263.170141384943
Gibraltar,
Guinea,335.014292883194
"Gambia, The",464.639636150988
Guinea-Bissau,312.25356654928
Equatorial Guinea,2031.41938636331
Greece,12549.036894906
Grenada,4821.78499467448
Greenland,19275.4339659556
Guatemala,1550.36174652973
Guam,
Guyana,937.29799220975
High income,24791.1890020814
"Hong Kong SAR, China",25230.3780910304
Honduras,1118.94089428633
Heavily indebted poor countries (HIPC),353.712070143704
Croatia,5364.01024143422
Haiti,743.911273104184
Hungary,5276.03318905496
IBRD only,1477.64234791711
IDA & IBRD total,1262.19538221306
IDA total,502.282099598348
IDA blend,586.677485242528
Indonesia,739.003946535355
IDA only,461.159467178905
Isle of Man,21716.9460422835
India,449.911124933268
Not classified,
Ireland,28282.409882073
Iran,1902.94763906684
Iraq,1422.83133890376
Iceland,28897.4439396908
Israel,20909.430361637
Italy,20500.9543995672
Jamaica,3502.21311800396
Jordan,1738.38383765832
Japan,34406.1824638092
Kazakhstan,1490.92675457119
Kenya,408.36060874809
Kyrgyz Republic,308.409611591149
Cambodia,322.899863859665
Kiribati,696.997731453524
St. Kitts and Nevis,9973.5534513591
South Korea,11561.2071745115
Kuwait,17517.7061456004
Lao PDR,320.419011071869
Lebanon,4021.17726323273
Liberia,303.858805600124
Libya,6465.62220261983
St. Lucia,5558.06937116326
Latin America & Caribbean,4318.03779250489
Sri Lanka,832.427319625871
Lesotho,412.962296184389
Late-demographic dividend,1710.59011609276
Lithuania,3525.79363185461
Latvia,3578.00190041351
"Macao SAR, China",15622.7030493852
St. Martin (French part),
Morocco,1500.36340332031
Moldova,507.404076252819
Madagascar,325.460301083713
Maldives,3028.05083041721
Middle East & North Africa,3202.24652321368
Mexico,8009.15833972447
Marshall Islands,2257.25470016356
Middle income,1252.93116537887
North Macedonia,1823.02267682636
Mali,299.412175316254
Malta,10402.2333313615
Myanmar,140.776163930913
Middle East & North Africa (excluding high income),1873.01320562604
Montenegro,1909.59870186179
Mongolia,512.819469988285
Northern Mariana Islands,
Mozambique,310.095062515845
Mauritania,632.214141751138
Mauritius,3856.63078754099
Malawi,217.240473296394
Malaysia,3941.12266621369
North America,35831.3793749997
Namibia,1916.2558622279
New Caledonia,15174.2784558844
Niger,203.52648886842
Nigeria,583.085838768235
Nicaragua,1025.10850978461
Netherlands,26896.5481111196
Norway,38601.897639231
Nepal,240.705159164552
Nauru,
New Zealand,13882.8568268586
OECD members,22671.4761753451
Oman,8191.51283162468
Other small states,4168.96054534433
Pakistan,610.143231600736
Panama,4084.2585357057
Peru,1925.97942030475
Philippines,991.147982051369
Palau,7913.45067581198
Papua New Guinea,540.673889592354
Poland,4991.24435799511
Pre-demographic dividend,467.282240839411
Puerto Rico,18123.1987019918
"Korea, Dem. People's Rep.",
Portugal,11734.7649743954
Paraguay,1630.1908460827
West Bank and Gaza,1335.55319529359
Pacific island small states,1641.98843269406
Post-demographic dividend,25489.0929020934
French Polynesia,14012.2429663032
Qatar,25836.2707926738
Romania,1825.19299373184
Russia,2100.3525390625
Rwanda,239.145676416436
Saudi Arabia,8337.32272366096
Sudan,471.372772216797
Senegal,654.840727365959
Singapore,21699.7414868907
Solomon Islands,929.866490264359
Sierra Leone,221.2950856188
El Salvador,2051.15877420114
San Marino,39415.1629432165
Somalia,
Serbia,1727.2822281985
Sub-Saharan Africa (excluding high income),589.402019980094
South Sudan,
Sub-Saharan Africa,590.300870746451
Small states,4258.40183670314
Sao Tome and Principe,519.295582995766
Suriname,1711.71446057638
Slovak Republic,5722.1681828083
Slovenia,10479.7596309273
Sweden,27247.857734793
Eswatini,1481.16308195353
Sint Maarten (Dutch part),
Seychelles,8153.2986369879
Syrian Arab Republic,5187.20610747836
Turks and Caicos Islands,18323.8737358259
Chad,200.361008052321
Togo,288.107877992222
Thailand,1889.97141079834
Tajikistan,168.638593302984
Turkmenistan,762.610797622974
Timor-Leste,534.650577099018
Tonga,1754.84187972624
Trinidad and Tobago,6592.77664795341
Tunisia,2207.65992062952
Turkiye,3100.45899923828
Tuvalu,1451.48449507474
Tanzania,394.353240966797
Uganda,235.852974853568
Ukraine,807.801940917969
Upper middle income,1866.67415021032
Uruguay,6331.15660187559
United States of America,37133.623113437
Uzbekistan,456.706289511583
St. Vincent and the Grenadines,4066.07063765132
"Venezuela, RB",4940.11390287807
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,409.497733926552
Vanuatu,1309.04758427698
Samoa,1435.3451812614
Kosovo,
"Yemen, Rep.",514.692340729636
South Africa,2867.47249671099
Zambia,401.732315892622
Zimbabwe,569.003208636604
