Country,GDP,info
Aruba,29011.64,na
Africa Eastern and Southern,1435.81,na
Afghanistan,382.53,na
Africa Western and Central,1685.56,na
Angola,4081.72,na
Albania,4370.54,"Beniada Shabani,19,170,Bronze medal;Andi Reçi,13,284,Honourable mention;Redi Haderi,10,337,nan;Arbana Grembi,8,368,nan;Niko Kaso,3,459,nan;Limonera Bozha,0,521,nan"
Andorra,53721.39,na
Arab World,6531.53,na
United Arab Emirates,45140.77,"Hussein Ali Salem Ali Al-Shehhi,2,479,nan;Alya Alqaydi,2,479,nan;Ahmed Abdelrahman Mohamed Al Ali,1,508,nan;Omar Sultan Al Zaabi,0,521,nan"
Argentina,8977.51,"Germán Stefanich,25,92,Silver medal;Nicolás Rodríguez Castro,20,159,Bronze medal;Juan Andrés Dodyk,16,212,Bronze medal;Mauro Schilman,15,238,Bronze medal;Alan Givré,6,407,nan;Miguel Maurizio,3,459,nan"
Armenia,3908.95,"Tigran Hakobyan,12,297,Honourable mention;Vahagn Kirakosyan,12,297,Honourable mention;Vahan Huroyan,11,320,Honourable mention;Artur Darbinyan,9,346,nan;Davit Arakelyan,7,392,Honourable mention;Vahagn Aslanyan,5,424,nan"
American Samoa,10019.5,na
Antigua and Barbuda,16457.1,na
Australia,49701.28,"Andrew Elvey Price,29,57,Silver medal;Paul Cheung,25,92,Silver medal;Giles Samuel Vernon Gardam,25,92,Silver medal;Matthew Cedric Menzies,24,107,Silver medal;Irene Yuan Lo,22,127,Silver medal;Sampson Wong,15,238,Bronze medal"
Austria,51919.98,"Yimin Ge,16,212,Bronze medal;Philipp Schönbauer,14,268,Honourable mention;Enrico Kravina,13,284,Honourable mention;Joachim Orthaber,10,337,Honourable mention;Waltraud Lederle,8,368,Honourable mention;Martin Köberl,2,479,nan"
Azerbaijan,5574.47,"Sarkhan Badirli,19,170,Bronze medal;Elyar Gulamhuseynli,16,212,Bronze medal;Ruslan Muslumov,16,212,Bronze medal;Farid Mammadov,11,320,nan;Shahriyar Garaloglu,8,368,nan;Zulfu Aslanli,4,448,nan"
Burundi,194.71,na
