Country,GDP
Aruba,NY.GDP.PCAP.CD
Africa Eastern and Southern,NY.GDP.PCAP.CD
Afghanistan,NY.GDP.PCAP.CD
Africa Western and Central,NY.GDP.PCAP.CD
Angola,NY.GDP.PCAP.CD
Albania,NY.GDP.PCAP.CD
Andorra,NY.GDP.PCAP.CD
Arab World,NY.GDP.PCAP.CD
United Arab Emirates,NY.GDP.PCAP.CD
Argentina,NY.GDP.PCAP.CD
Armenia,NY.GDP.PCAP.CD
American Samoa,NY.GDP.PCAP.CD
Antigua and Barbuda,NY.GDP.PCAP.CD
Australia,NY.GDP.PCAP.CD
Austria,NY.GDP.PCAP.CD
Azerbaijan,NY.GDP.PCAP.CD
Burundi,NY.GDP.PCAP.CD
Belgium,NY.GDP.PCAP.CD
Benin,NY.GDP.PCAP.CD
Burkina Faso,NY.GDP.PCAP.CD
Bangladesh,NY.GDP.PCAP.CD
Bulgaria,NY.GDP.PCAP.CD
Bahrain,NY.GDP.PCAP.CD
The Bahamas,NY.GDP.PCAP.CD
Bosnia and Herzegovina,NY.GDP.PCAP.CD
Belarus,NY.GDP.PCAP.CD
Belize,NY.GDP.PCAP.CD
Bermuda,NY.GDP.PCAP.CD
Bolivia,NY.GDP.PCAP.CD
Brazil,NY.GDP.PCAP.CD
Barbados,NY.GDP.PCAP.CD
Brunei Darussalam,NY.GDP.PCAP.CD
Bhutan,NY.GDP.PCAP.CD
Botswana,NY.GDP.PCAP.CD
Central African Republic,NY.GDP.PCAP.CD
Canada,NY.GDP.PCAP.CD
Central Europe and the Baltics,NY.GDP.PCAP.CD
Switzerland,NY.GDP.PCAP.CD
Channel Islands,NY.GDP.PCAP.CD
Chile,NY.GDP.PCAP.CD
China,NY.GDP.PCAP.CD
Ivory Coast,NY.GDP.PCAP.CD
Cameroon,NY.GDP.PCAP.CD
Democratic Republic of the Congo,NY.GDP.PCAP.CD
"Congo, Rep.",NY.GDP.PCAP.CD
Colombia,NY.GDP.PCAP.CD
Comoros,NY.GDP.PCAP.CD
Cabo Verde,NY.GDP.PCAP.CD
Costa Rica,NY.GDP.PCAP.CD
Caribbean small states,NY.GDP.PCAP.CD
Cuba,NY.GDP.PCAP.CD
Curacao,NY.GDP.PCAP.CD
Cayman Islands,NY.GDP.PCAP.CD
Cyprus,NY.GDP.PCAP.CD
Czechia,NY.GDP.PCAP.CD
Germany,NY.GDP.PCAP.CD
Djibouti,NY.GDP.PCAP.CD
Dominica,NY.GDP.PCAP.CD
Denmark,NY.GDP.PCAP.CD
Dominican Republic,NY.GDP.PCAP.CD
Algeria,NY.GDP.PCAP.CD
Ecuador,NY.GDP.PCAP.CD
Egypt,NY.GDP.PCAP.CD
Eritrea,NY.GDP.PCAP.CD
Spain,NY.GDP.PCAP.CD
Estonia,NY.GDP.PCAP.CD
Ethiopia,NY.GDP.PCAP.CD
European Union,NY.GDP.PCAP.CD
Finland,NY.GDP.PCAP.CD
Fiji,NY.GDP.PCAP.CD
France,NY.GDP.PCAP.CD
Faroe Islands,NY.GDP.PCAP.CD
"Micronesia, Fed. Sts.",NY.GDP.PCAP.CD
Gabon,NY.GDP.PCAP.CD
United Kingdom,NY.GDP.PCAP.CD
Georgia,NY.GDP.PCAP.CD
Ghana,NY.GDP.PCAP.CD
Gibraltar,NY.GDP.PCAP.CD
Guinea,NY.GDP.PCAP.CD
"Gambia, The",NY.GDP.PCAP.CD
Guinea-Bissau,NY.GDP.PCAP.CD
Equatorial Guinea,NY.GDP.PCAP.CD
Greece,NY.GDP.PCAP.CD
