Country,GDP
Aruba,
Africa Eastern and Southern,485.666382183455
Afghanistan,255.045622164367
Africa Western and Central,477.194016767031
Angola,
Albania,
Andorra,9456.01587659326
Arab World,1610.27541334122
United Arab Emirates,29526.6379767833
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,1366.09214322439
Australia,8252.65590400684
Austria,8205.4689771504
Azerbaijan,
Burundi,151.067991502609
Belgium,10289.7684173296
Benin,255.392387428103
Burkina Faso,224.328552986676
Bangladesh,166.006422429598
Bulgaria,
Bahrain,
The Bahamas,3871.33980727016
Bosnia and Herzegovina,
Belarus,
Belize,981.048419022119
Bermuda,8876.86567164179
Bolivia,685.382706795972
Brazil,
Barbados,2202.64495318948
Brunei Darussalam,11020.6802185682
Bhutan,
Botswana,695.092471158397
Central African Republic,258.068355423612
Canada,9154.43325277735
Central Europe and the Baltics,
Switzerland,
Channel Islands,
Chile,1435.84129711002
China,228.519313233137
Ivory Coast,1025.93365302181
Cameroon,581.890707054199
Democratic Republic of the Congo,
"Congo, Rep.",502.958019400191
Colombia,930.406202098949
Comoros,
Cabo Verde,
Costa Rica,1541.06963481116
Caribbean small states,1736.62471675504
Cuba,1833.99085308811
Curacao,
Cayman Islands,
Cyprus,1929.40356445313
Czechia,
Germany,9482.04284964716
Djibouti,
Dominica,788.242163905676
Denmark,11826.0186130503
Dominican Republic,861.51380334579
Algeria,1495.20910297049
Ecuador,1545.82312960008
Egypt,356.250661142198
Eritrea,
Spain,4356.43922031196
Estonia,
Ethiopia,
European Union,6045.02548755174
Finland,7628.81571424906
Fiji,1351.45538367039
France,9299.77404965756
Faroe Islands,9480.11521230815
"Micronesia, Fed. Sts.",
Gabon,3355.37401148119
United Kingdom,5976.93816899991
Georgia,
Ghana,328.084092596074
Gibraltar,
Guinea,
"Gambia, The",255.333914860936
Guinea-Bissau,154.428471348895
Equatorial Guinea,
Greece,4694.6337817198
Grenada,921.839729219988
Greenland,7235.5169393433
Guatemala,925.12574446591
Guam,
Guyana,659.73726563181
High income,7393.14223778105
"Hong Kong SAR, China",3923.9713784987
Honduras,872.372129649659
Heavily indebted poor countries (HIPC),318.952526759738
Croatia,
Haiti,179.454735424892
Hungary,
IBRD only,631.120072311679
IDA & IBRD total,571.165376389068
IDA total,303.735641891324
IDA blend,411.353775336578
Indonesia,364.285790473086
IDA only,261.519578879011
Isle of Man,
India,206.073749258556
Not classified,
Ireland,4399.98680535092
Iran,2166.89034831665
Iraq,1853.57400538713
Iceland,11236.735735064
Israel,
Italy,5610.49809928171
Jamaica,1271.11121759114
Jordan,1257.64997262441
Japan,9012.13603523182
Kazakhstan,
Kenya,351.533532966598
Kyrgyz Republic,
Cambodia,
Kiribati,760.315277711083
St. Kitts and Nevis,1137.31354729859
South Korea,1405.82237444554
Kuwait,11664.9317466083
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Latin America & Caribbean,
Sri Lanka,189.609347528421
Lesotho,200.245991169345
Late-demographic dividend,673.674693613
Lithuania,
Latvia,
"Macao SAR, China",
St. Martin (French part),
Morocco,705.193237304688
Moldova,
Madagascar,316.287256767817
Maldives,
Middle East & North Africa,2021.42350014687
Mexico,1600.7824699249
Marshall Islands,
Middle income,567.991831574257
North Macedonia,
Mali,172.870534542645
Malta,2558.74025532938
Myanmar,29.0629578668125
Middle East & North Africa (excluding high income),1161.73677425143
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,565.928963122046
Mauritius,1087.70257269259
Malawi,
Malaysia,1304.06733907703
North America,10427.5163891898
Namibia,
New Caledonia,6152.7613655134
Niger,305.380103492569
Nigeria,532.217433682282
Nicaragua,
Netherlands,11179.3895620565
Norway,11462.5945916053
Nepal,107.743117628888
Nauru,
New Zealand,5936.98526036423
OECD members,6919.55783334525
Oman,3002.24748254518
Other small states,1562.4381325494
Pakistan,238.155832543428
Panama,1737.55476451993
Peru,
Philippines,561.381776018721
Palau,
Papua New Guinea,653.737047993537
Poland,
Pre-demographic dividend,455.141220883417
Puerto Rico,3567.7526290007
"Korea, Dem. People's Rep.",
Portugal,2457.31321644599
Paraguay,875.353372814364
West Bank and Gaza,
Pacific island small states,992.212868725631
