Country,GDP,info
Aruba,13657.67,N/A
Africa Eastern and Southern,734.74,N/A
Afghanistan,,N/A
Africa Western and Central,562.36,N/A
Angola,657.65,N/A
Albania,200.85,N/A
Andorra,21123.06,N/A
Arab World,2051.92,N/A
United Arab Emirates,25630.08,N/A
Argentina,6815.33,"German Maximiliano Müller,24,74,Silver medal;Hstau Young Liao,17,125,Bronze medal;Pablo Ariel Milrud,10,210,Honourable mention;Gustavo Ernesto Massaccesi,6,263,nan;Martin Szew,6,263,nan;Nicolas Stier,4,303,nan"
Armenia,356.08,"Vahan Grigorian,16,130,Bronze medal;Vahe Poladian,16,130,Bronze medal;Ashot Petrosian,13,171,Honourable mention;Tigran Grigorian,8,233,nan"
American Samoa,,N/A
Antigua and Barbuda,7721.76,N/A
Australia,18623.79,"Benjamin Burton,39,8,Gold medal;Anthony Henderson,24,74,Silver medal;Frank Calegari,15,142,Bronze medal;Rupert McCallum,15,142,Bronze medal;Adrian Banner,13,171,Honourable mention;P.H.Lawrence Ip,12,186,nan"
Austria,24880.16,"Gerhard Kirchner,18,120,Bronze medal;Clemens Heuberger,15,142,Bronze medal;Theresia Eisenkölbl,14,160,Bronze medal;Harald Paier,12,186,nan;Gerald Hörhan,9,224,nan;Stefan Hausberger,2,326,nan"
Azerbaijan,60.24,"A. C. Achmedov,10,210,Honourable mention"
Burundi,188.58,N/A
Belgium,23372.62,"Bart de Bruyn,26,58,Silver medal;François Glineur,23,84,Bronze medal;Claude Desset,19,113,Bronze medal;Jan Ramon,13,171,nan;Walter Van Herck,13,171,Honourable mention;Joël Horowitz,6,263,nan"
Benin,310.62,N/A
Burkina Faso,349.71,N/A
Bangladesh,284.97,N/A
Bulgaria,1211.98,"Nikolay Nikolov,33,17,Gold medal;Mladen Dimitrov,26,58,Silver medal;Augustin M. Marinov,20,104,Bronze medal;Iasen P. Siderov,20,104,Bronze medal;Jivko D. Velev,18,120,Bronze medal;Ivan S. Velev,10,210,nan"
Bahrain,8568.66,N/A
The Bahamas,11025.88,N/A
Bosnia and Herzegovina,,N/A
