Country,GDP
Aruba,GDP per capita (current US$)
Africa Eastern and Southern,GDP per capita (current US$)
Afghanistan,GDP per capita (current US$)
Africa Western and Central,GDP per capita (current US$)
Angola,GDP per capita (current US$)
Albania,GDP per capita (current US$)
Andorra,GDP per capita (current US$)
Arab World,GDP per capita (current US$)
United Arab Emirates,GDP per capita (current US$)
Argentina,GDP per capita (current US$)
Armenia,GDP per capita (current US$)
American Samoa,GDP per capita (current US$)
Antigua and Barbuda,GDP per capita (current US$)
Australia,GDP per capita (current US$)
Austria,GDP per capita (current US$)
Azerbaijan,GDP per capita (current US$)
Burundi,GDP per capita (current US$)
Belgium,GDP per capita (current US$)
Benin,GDP per capita (current US$)
Burkina Faso,GDP per capita (current US$)
Bangladesh,GDP per capita (current US$)
Bulgaria,GDP per capita (current US$)
Bahrain,GDP per capita (current US$)
The Bahamas,GDP per capita (current US$)
Bosnia and Herzegovina,GDP per capita (current US$)
Belarus,GDP per capita (current US$)
Belize,GDP per capita (current US$)
Bermuda,GDP per capita (current US$)
Bolivia,GDP per capita (current US$)
Brazil,GDP per capita (current US$)
Barbados,GDP per capita (current US$)
Brunei Darussalam,GDP per capita (current US$)
Bhutan,GDP per capita (current US$)
Botswana,GDP per capita (current US$)
Central African Republic,GDP per capita (current US$)
Canada,GDP per capita (current US$)
Central Europe and the Baltics,GDP per capita (current US$)
Switzerland,GDP per capita (current US$)
Channel Islands,GDP per capita (current US$)
Chile,GDP per capita (current US$)
China,GDP per capita (current US$)
Ivory Coast,GDP per capita (current US$)
Cameroon,GDP per capita (current US$)
Democratic Republic of the Congo,GDP per capita (current US$)
"Congo, Rep.",GDP per capita (current US$)
Colombia,GDP per capita (current US$)
Comoros,GDP per capita (current US$)
Cabo Verde,GDP per capita (current US$)
Costa Rica,GDP per capita (current US$)
Caribbean small states,GDP per capita (current US$)
Cuba,GDP per capita (current US$)
Curacao,GDP per capita (current US$)
Cayman Islands,GDP per capita (current US$)
Cyprus,GDP per capita (current US$)
Czechia,GDP per capita (current US$)
Germany,GDP per capita (current US$)
Djibouti,GDP per capita (current US$)
Dominica,GDP per capita (current US$)
Denmark,GDP per capita (current US$)
Dominican Republic,GDP per capita (current US$)
Algeria,GDP per capita (current US$)
Ecuador,GDP per capita (current US$)
Egypt,GDP per capita (current US$)
Eritrea,GDP per capita (current US$)
Spain,GDP per capita (current US$)
Estonia,GDP per capita (current US$)
Ethiopia,GDP per capita (current US$)
European Union,GDP per capita (current US$)
Finland,GDP per capita (current US$)
Fiji,GDP per capita (current US$)
France,GDP per capita (current US$)
Faroe Islands,GDP per capita (current US$)
"Micronesia, Fed. Sts.",GDP per capita (current US$)
Gabon,GDP per capita (current US$)
United Kingdom,GDP per capita (current US$)
Georgia,GDP per capita (current US$)
Ghana,GDP per capita (current US$)
Gibraltar,GDP per capita (current US$)
Guinea,GDP per capita (current US$)
"Gambia, The",GDP per capita (current US$)
Guinea-Bissau,GDP per capita (current US$)
Equatorial Guinea,GDP per capita (current US$)
Greece,GDP per capita (current US$)
Grenada,GDP per capita (current US$)
Greenland,GDP per capita (current US$)
Guatemala,GDP per capita (current US$)
Guam,GDP per capita (current US$)
Guyana,GDP per capita (current US$)
High income,GDP per capita (current US$)
"Hong Kong SAR, China",GDP per capita (current US$)
Honduras,GDP per capita (current US$)
Heavily indebted poor countries (HIPC),GDP per capita (current US$)
Croatia,GDP per capita (current US$)
Haiti,GDP per capita (current US$)
Hungary,GDP per capita (current US$)
IBRD only,GDP per capita (current US$)
IDA & IBRD total,GDP per capita (current US$)
IDA total,GDP per capita (current US$)
IDA blend,GDP per capita (current US$)
Indonesia,GDP per capita (current US$)
IDA only,GDP per capita (current US$)
Isle of Man,GDP per capita (current US$)
India,GDP per capita (current US$)
Not classified,GDP per capita (current US$)
Ireland,GDP per capita (current US$)
Iran,GDP per capita (current US$)
Iraq,GDP per capita (current US$)
Iceland,GDP per capita (current US$)
Israel,GDP per capita (current US$)
Italy,GDP per capita (current US$)
Jamaica,GDP per capita (current US$)
Jordan,GDP per capita (current US$)
Japan,GDP per capita (current US$)
Kazakhstan,GDP per capita (current US$)
Kenya,GDP per capita (current US$)
Kyrgyz Republic,GDP per capita (current US$)
Cambodia,GDP per capita (current US$)
Kiribati,GDP per capita (current US$)
St. Kitts and Nevis,GDP per capita (current US$)
South Korea,GDP per capita (current US$)
Kuwait,GDP per capita (current US$)
Lao PDR,GDP per capita (current US$)
Lebanon,GDP per capita (current US$)
Liberia,GDP per capita (current US$)
Libya,GDP per capita (current US$)
St. Lucia,GDP per capita (current US$)
Latin America & Caribbean,GDP per capita (current US$)
Sri Lanka,GDP per capita (current US$)
Lesotho,GDP per capita (current US$)
Late-demographic dividend,GDP per capita (current US$)
Lithuania,GDP per capita (current US$)
Latvia,GDP per capita (current US$)
"Macao SAR, China",GDP per capita (current US$)
St. Martin (French part),GDP per capita (current US$)
Morocco,GDP per capita (current US$)
Moldova,GDP per capita (current US$)
Madagascar,GDP per capita (current US$)
Maldives,GDP per capita (current US$)
Middle East & North Africa,GDP per capita (current US$)
Mexico,GDP per capita (current US$)
Marshall Islands,GDP per capita (current US$)
Middle income,GDP per capita (current US$)
North Macedonia,GDP per capita (current US$)
Mali,GDP per capita (current US$)
Malta,GDP per capita (current US$)
Myanmar,GDP per capita (current US$)
Middle East & North Africa (excluding high income),GDP per capita (current US$)
Montenegro,GDP per capita (current US$)
Mongolia,GDP per capita (current US$)
Northern Mariana Islands,GDP per capita (current US$)
Mozambique,GDP per capita (current US$)
Mauritania,GDP per capita (current US$)
Mauritius,GDP per capita (current US$)
Malawi,GDP per capita (current US$)
Malaysia,GDP per capita (current US$)
North America,GDP per capita (current US$)
Namibia,GDP per capita (current US$)
New Caledonia,GDP per capita (current US$)
Niger,GDP per capita (current US$)
Nigeria,GDP per capita (current US$)
Nicaragua,GDP per capita (current US$)
Netherlands,GDP per capita (current US$)
Norway,GDP per capita (current US$)
Nepal,GDP per capita (current US$)
Nauru,GDP per capita (current US$)
New Zealand,GDP per capita (current US$)
OECD members,GDP per capita (current US$)
Oman,GDP per capita (current US$)
Other small states,GDP per capita (current US$)
Pakistan,GDP per capita (current US$)
Panama,GDP per capita (current US$)
Peru,GDP per capita (current US$)
Philippines,GDP per capita (current US$)
Palau,GDP per capita (current US$)
Papua New Guinea,GDP per capita (current US$)
Poland,GDP per capita (current US$)
Pre-demographic dividend,GDP per capita (current US$)
Puerto Rico,GDP per capita (current US$)
"Korea, Dem. People's Rep.",GDP per capita (current US$)
Portugal,GDP per capita (current US$)
Paraguay,GDP per capita (current US$)
West Bank and Gaza,GDP per capita (current US$)
Pacific island small states,GDP per capita (current US$)
Post-demographic dividend,GDP per capita (current US$)
French Polynesia,GDP per capita (current US$)
Qatar,GDP per capita (current US$)
Romania,GDP per capita (current US$)
Russia,GDP per capita (current US$)
Rwanda,GDP per capita (current US$)
Saudi Arabia,GDP per capita (current US$)
Sudan,GDP per capita (current US$)
Senegal,GDP per capita (current US$)
Singapore,GDP per capita (current US$)
Solomon Islands,GDP per capita (current US$)
Sierra Leone,GDP per capita (current US$)
El Salvador,GDP per capita (current US$)
San Marino,GDP per capita (current US$)
Somalia,GDP per capita (current US$)
Serbia,GDP per capita (current US$)
Sub-Saharan Africa (excluding high income),GDP per capita (current US$)
South Sudan,GDP per capita (current US$)
Sub-Saharan Africa,GDP per capita (current US$)
Small states,GDP per capita (current US$)
Sao Tome and Principe,GDP per capita (current US$)
Suriname,GDP per capita (current US$)
Slovak Republic,GDP per capita (current US$)
Slovenia,GDP per capita (current US$)
Sweden,GDP per capita (current US$)
Eswatini,GDP per capita (current US$)
Sint Maarten (Dutch part),GDP per capita (current US$)
Seychelles,GDP per capita (current US$)
Syria,GDP per capita (current US$)
Turks and Caicos Islands,GDP per capita (current US$)
Chad,GDP per capita (current US$)
Togo,GDP per capita (current US$)
Thailand,GDP per capita (current US$)
Tajikistan,GDP per capita (current US$)
Turkmenistan,GDP per capita (current US$)
Timor-Leste,GDP per capita (current US$)
Tonga,GDP per capita (current US$)
Trinidad and Tobago,GDP per capita (current US$)
Tunisia,GDP per capita (current US$)
Turkiye,GDP per capita (current US$)
Tuvalu,GDP per capita (current US$)
Tanzania,GDP per capita (current US$)
Uganda,GDP per capita (current US$)
Ukraine,GDP per capita (current US$)
Upper middle income,GDP per capita (current US$)
Uruguay,GDP per capita (current US$)
United States of America,GDP per capita (current US$)
Uzbekistan,GDP per capita (current US$)
St. Vincent and the Grenadines,GDP per capita (current US$)
"Venezuela, RB",GDP per capita (current US$)
British Virgin Islands,GDP per capita (current US$)
Virgin Islands (U.S.),GDP per capita (current US$)
Viet Nam,GDP per capita (current US$)
Vanuatu,GDP per capita (current US$)
Samoa,GDP per capita (current US$)
Kosovo,GDP per capita (current US$)
"Yemen, Rep.",GDP per capita (current US$)
South Africa,GDP per capita (current US$)
Zambia,GDP per capita (current US$)
Zimbabwe,GDP per capita (current US$)
