,Name,Team,IMO,Name,Team,IMO,Fields_Medal,Wolf_Prize,EMS_Prize,AMS_research_prizes,Clay_Award,Abel_Prize,Person_Image,Country_Flag,Wikipedia_URL
0,Grigory Margulis,Soviet Union,['S 1962'],1978,2005,,,,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Grigory_Margulis_%282006%29.jpg/220px-Grigory_Margulis_%282006%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Grigory_Margulis
1,George Lusztig,Romania,"['S 1963': 'S 1962']",,,,1985 (Cole algebra),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,https://en.wikipedia.org/wiki/George_Lusztig
2,Henryk Iwaniec,Poland,"['S 1966': 'R 1965']",,,,2002 (Cole number theory),,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Henryk_Iwaniec.JPG/200px-Henryk_Iwaniec.JPG,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/125px-Flag_of_Poland.svg.png,https://en.wikipedia.org/wiki/Henryk_Iwaniec
3,László Lovász,Hungary,"['P 1966': 'P 1965': 'G 1964': 'S 1963']",,1999,,"1982, 2012 (Fulkerson)",,2021,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/L%C3%A1szl%C3%B3_Lov%C3%A1sz_%282017%29_%28cropped%29.jpg/220px-L%C3%A1szl%C3%B3_Lov%C3%A1sz_%282017%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/125px-Flag_of_Hungary.svg.png,https://en.wikipedia.org/wiki/László_Lovász
4,Andrei Suslin,Soviet Union,['G 1967'],,,,2000 (Cole algebra),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Andrei_Suslin
5,János Pintz,Hungary,"['B 1969': 'P 1968': 'B 1967']",,,,2014 (Cole number theory),,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/125px-Flag_of_Hungary.svg.png,https://en.wikipedia.org/wiki/János_Pintz
6,Vladimir Drinfeld,Soviet Union,['P 1969'],1990,2018,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Vladimir_Drinfeld.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Vladimir_Drinfeld
7,Andrei Zelevinsky,Soviet Union,['S 1969'],,,,2018 (Steele),,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Zelevinsky.jpg/225px-Zelevinsky.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Andrei_Zelevinsky
8,Alexander Merkurjev,Soviet Union,['S 1972'],,,,2012 (Cole algebra),,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Alexander_Merkurjev.jpg/220px-Alexander_Merkurjev.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/125px-Flag_of_the_Soviet_Union.svg.png,https://en.wikipedia.org/wiki/Alexander_Merkurjev
9,Pierre-Louis Lions,France,['R 1973'],1994,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Pierre-Louis_Lions_par_Philippe_Binant.jpg/220px-Pierre-Louis_Lions_par_Philippe_Binant.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/Pierre-Louis_Lions
